"","Measurement.Time","Value","Loc"
"308",2017-11-20,19.306,"PC"
"309",2017-11-20,19.615,"PC"
"310",2017-11-20,19.87675,"PC"
"311",2017-11-20,20.6635,"PC"
"312",2017-11-20,21.28375,"PC"
"313",2017-11-20,21.068,"PC"
"314",2017-11-20,21.6885,"PC"
"315",2017-11-20,21.97525,"PC"
"316",2017-11-20,22.573,"PC"
"317",2017-11-20,23.43875,"PC"
"318",2017-11-20,24.01925,"PC"
"319",2017-11-20,23.44025,"PC"
"320",2017-11-20,24.233,"PC"
"321",2017-11-20,23.96575,"PC"
"322",2017-11-20,23.86975,"PC"
"323",2017-11-20,24.2555,"PC"
"324",2017-11-20,23.34175,"PC"
"325",2017-11-20,23.3435,"PC"
"326",2017-11-20,22.95725,"PC"
"327",2017-11-20,21.66425,"PC"
"328",2017-11-20,22.43325,"PC"
"329",2017-11-20,20.7835,"PC"
"330",2017-11-20,20.28425,"PC"
"331",2017-11-20,20.28525,"PC"
"332",2017-11-20,20.40475,"PC"
"333",2017-11-20,20.99875,"PC"
"334",2017-11-20,20.0195,"PC"
"335",2017-11-20,19.85325,"PC"
"336",2017-11-20,19.78225,"PC"
"337",2017-11-21,19.6395,"PC"
"338",2017-11-21,19.42475,"PC"
"339",2017-11-21,19.23425,"PC"
"340",2017-11-21,19.42475,"PC"
"341",2017-11-21,19.258,"PC"
"342",2017-11-21,19.23425,"PC"
"343",2017-11-21,19.13925,"PC"
"344",2017-11-21,19.0915,"PC"
"345",2017-11-21,19.044,"PC"
"346",2017-11-21,18.854,"PC"
"347",2017-11-21,18.61625,"PC"
"348",2017-11-21,18.92525,"PC"
"349",2017-11-21,18.497,"PC"
"350",2017-11-21,18.5925,"PC"
"351",2017-11-21,18.283,"PC"
"352",2017-11-21,18.35475,"PC"
"353",2017-11-21,18.40225,"PC"
"354",2017-11-21,18.735,"PC"
"355",2017-11-21,19.25825,"PC"
"356",2017-11-21,19.44875,"PC"
"357",2017-11-21,19.71075,"PC"
"358",2017-11-21,19.9965,"PC"
"359",2017-11-21,20.3775,"PC"
"360",2017-11-21,20.6625,"PC"
"361",2017-11-21,21.378,"PC"
"362",2017-11-21,21.78475,"PC"
"363",2017-11-21,22.28675,"PC"
"364",2017-11-21,22.28675,"PC"
"365",2017-11-21,22.9085,"PC"
"366",2017-11-21,23.60775,"PC"
"367",2017-11-21,23.803,"PC"
"368",2017-11-21,23.41625,"PC"
"369",2017-11-21,24.20725,"PC"
"370",2017-11-21,24.522,"PC"
"371",2017-11-21,24.838,"PC"
"372",2017-11-21,24.2815,"PC"
"373",2017-11-21,24.25925,"PC"
"374",2017-11-21,23.4365,"PC"
"375",2017-11-21,23.5345,"PC"
"376",2017-11-21,22.81975,"PC"
"377",2017-11-21,20.56725,"PC"
"378",2017-11-21,20.44925,"PC"
"379",2017-11-21,20.28325,"PC"
"380",2017-11-21,20.02225,"PC"
"381",2017-11-21,19.881,"PC"
"382",2017-11-21,20.6895,"PC"
"383",2017-11-21,20.1385,"PC"
"384",2017-11-21,19.639,"PC"
"385",2017-11-22,19.544,"PC"
"386",2017-11-22,19.40125,"PC"
"387",2017-11-22,19.13925,"PC"
"388",2017-11-22,19.16325,"PC"
